Name of Area,FIPS,Police Department,percent_white_police,percent_black_police,percent_asian_police,percent_hispanic_police,percent_other_police
"BAKERSFIELD POLICE DEPARTMENT, California",603526,603526,68.72,3.94,0.49,24.38,2.46
"BERKELEY POLICE DEPARTMENT, California",606000,606000,55.36,15.48,14.29,14.29,0.6
"BEVERLY HILLS POLICE DEPARTMENT, California",606308,606308,62.3,9.02,9.02,13.93,5.74
"BURBANK POLICE DEPARTMENT, California",608954,608954,65.99,4.76,4.08,22.45,2.72
"CARLSBAD POLICE DEPARTMENT, California",611194,611194,79.25,2.83,1.89,10.38,5.66
"CHULA VISTA POLICE DEPARTMENT, California",613392,613392,55.45,5.45,3.64,28.18,7.27
"CORONA POLICE DEPARTMENT, California",616350,616350,64.38,1.25,1.25,31.87,1.25
"COSTA MESA POLICE DEPARTMENT, California",616532,616532,67.27,1.82,7.27,19.09,4.55
"CULVER CITY POLICE DEPARTMENT, California",617568,617568,49.5,7.92,4.95,30.69,6.93
"DALY CITY POLICE DEPARTMENT, California",617918,617918,64.42,4.81,6.73,18.27,5.77
"DOWNEY POLICE DEPARTMENT, California",619766,619766,48.62,3.67,1.83,45.87,0
"EL CAJON POLICE DEPARTMENT, California",621712,621712,78.81,0.85,5.08,8.47,6.78
"EL MONTE POLICE DEPARTMENT, California",622230,622230,34.26,1.85,3.7,57.41,2.78
"ESCONDIDO POLICE DEPARTMENT, California",622804,622804,0,0,0,0,100
"FAIRFIELD POLICE DEPARTMENT, California",623182,623182,85.34,3.45,2.59,6.9,1.72
"FONTANA POLICE DEPARTMENT, California",624680,624680,71.98,2.2,1.1,22.53,2.2
"FREMONT POLICE DEPARTMENT, California",626000,626000,62.77,4.79,9.57,13.3,9.57
"FRESNO POLICE DEPARTMENT, California",627000,627000,51.76,5.68,4.46,35.14,2.97
"FULLERTON POLICE DEPARTMENT, California",628000,628000,65.97,2.78,6.94,23.61,0.69
"GARDEN GROVE POLICE DEPARTMENT, California",629000,629000,59.62,1.28,5.77,26.92,6.41
"GLENDALE POLICE DEPARTMENT, California",630000,630000,59.23,1.72,9.44,29.61,0
"HAYWARD POLICE DEPARTMENT, California",633000,633000,61.78,8.38,4.71,17.8,7.33
"HUNTINGTON BEACH POLICE DEPARTMENT, California",636000,636000,0,0,0,0,100
"INGLEWOOD POLICE DEPARTMENT, California",636546,636546,36.16,12.43,2.82,42.94,5.65
"IRVINE POLICE DEPARTMENT, California",636770,636770,72.86,1.43,12.86,12.38,0.48
"LONG BEACH POLICE DEPARTMENT, California",643000,643000,52.76,5.13,9.37,32.22,0.51
"LOS ANGELES POLICE DEPARTMENT, California",644000,644000,33.05,10.45,7.52,46.01,2.97
"MODESTO POLICE DEPARTMENT, California",648354,648354,63.18,1.82,3.64,16.36,15
"OAKLAND POLICE DEPARTMENT, California",653000,653000,39.76,18.32,12.89,23.47,5.56
"OCEANSIDE POLICE DEPARTMENT, California",653322,653322,63.41,6.83,7.8,20.98,0.98
"ONTARIO POLICE DEPARTMENT, California",653896,653896,55.17,5.36,3.45,32.18,3.83
"ORANGE POLICE DEPARTMENT, California",653980,653980,72.92,2.78,4.86,15.28,4.17
"OXNARD POLICE DEPARTMENT, California",654652,654652,58.11,3.15,3.6,32.88,2.25
"PASADENA POLICE DEPARTMENT, California",656000,656000,47.83,13.04,5.65,33.04,0.43
"POMONA POLICE DEPARTMENT, California",658072,658072,46.63,6.75,6.13,34.36,6.13
"REDWOOD CITY POLICE DEPARTMENT, California",660102,660102,66.67,1.15,4.6,26.44,1.15
"RIALTO POLICE DEPARTMENT, California",660466,660466,52.38,10.48,1.9,34.29,0.95
"RICHMOND POLICE DEPARTMENT, California",660620,660620,,,,,
"RIVERSIDE POLICE DEPARTMENT, California",662000,662000,65.28,6.39,3.89,24.44,0
"SACRAMENTO POLICE DEPARTMENT, California",664000,664000,74.51,4.22,8.9,10.86,1.51
"SALINAS POLICE DEPARTMENT, California",664224,664224,57.46,0.75,4.48,34.33,2.99
"SAN BERNARDINO POLICE DEPARTMENT, California",665000,665000,57.41,7.41,3.24,29.63,2.31
"VENTURA POLICE DEPARTMENT BUENAVENTURA, California",665042,665042,71.65,2.36,0,22.83,3.15
"SAN DIEGO POLICE DEPARTMENT, California",666000,666000,63.27,6.3,8.4,21.27,0.75
"SAN FRANCISCO POLICE DEPARTMENT, California",667000,667000,50.13,9.42,16.34,16.26,7.85
"SAN JOSE POLICE DEPARTMENT, California",668000,668000,,,,,
"SAN MATEO POLICE DEPARTMENT, California",668252,668252,0,0,0,0,100
"SANTA ANA POLICE DEPARTMENT, California",669000,669000,33.01,1.92,6.09,58.01,0.96
"SANTA MARIA POLICE DEPARTMENT, California",669196,669196,51.26,2.52,1.68,40.34,4.2
"SANTA MONICA POLICE DEPARTMENT, California",670000,670000,49,12.5,0,37,1.5
"SANTA ROSA POLICE DEPARTMENT, California",670098,670098,85.96,1.75,1.75,10.53,0
"SIMI VALLEY POLICE DEPARTMENT, California",672016,672016,92.44,1.68,4.2,1.68,0
"STOCKTON POLICE DEPARTMENT, California",675000,675000,61.61,2.93,7.82,26.89,0.73
"SUNNYVALE DEPARTMENT OF PUBLIC SAFETY, California",677000,677000,72.04,3.76,13.44,10.75,0
"TORRANCE POLICE DEPARTMENT, California",680000,680000,64.73,6.28,12.08,15.94,0.97
"VALLEJO POLICE DEPARTMENT, California",681666,681666,73.08,6.73,9.62,10.58,0
"VISALIA DEPARTMENT OF PUBLIC SAFETY, California",682954,682954,68.66,0.75,2.24,28.36,0
"WHITTIER POLICE DEPARTMENT, California",685292,685292,53.78,2.52,0.84,42.86,0
"AURORA POLICE DEPARTMENT, Colorado",804000,804000,83.8,4.23,1.31,7.88,2.77
"BOULDER POLICE DEPARTMENT, Colorado",807850,807850,85.64,4.97,1.66,7.18,0.55
"BROOMFIELD POLICE DEPARTMENT, Colorado",809280,809280,86.54,1.92,0,9.62,1.92
"COLORADO SPRINGS POLICE DEPARTMENT, Colorado",816000,816000,81.18,4.98,2.95,10.42,0.47
"DENVER POLICE DEPARTMENT, Colorado",820000,820000,65.71,9.77,2.46,20.9,1.16
"FORT COLLINS POLICE SERVICES, Colorado",827425,827425,89.16,2.46,2.46,5.91,0
"GRAND JUNCTION POLICE DEPARTMENT, Colorado",831660,831660,92.79,0.9,0.9,5.41,0
"GREELEY POLICE DEPARTMENT, Colorado",832155,832155,89.51,0.7,1.4,8.39,0
"LAKEWOOD POLICE DEPARTMENT, Colorado",843000,843000,81.22,2.86,1.63,14.29,0
"LONGMONT POLICE DEPARTMENT, Colorado",845970,845970,82.48,0.73,0,6.57,10.22
"PUEBLO POLICE DEPARTMENT, Colorado",862000,862000,65.95,1.62,0,29.73,2.7
"THORNTON POLICE DEPARTMENT, Colorado",877290,877290,90.12,1.16,0,6.98,1.74
"WESTMINSTER POLICE DEPARTMENT, Colorado",883835,883835,87.13,0.58,2.34,9.94,0
"BRISTOL POLICE DEPARTMENT, Connecticut",908420,908420,97.41,2.59,0,0,0
"DANBURY POLICE DEPARTMENT, Connecticut",918430,918430,88.44,3.4,0.68,7.48,0
"HARTFORD POLICE DEPARTMENT, Connecticut",937000,937000,67.42,12.12,1.26,19.19,0
"MERIDEN POLICE DEPARTMENT, Connecticut",946450,946450,82.2,1.69,5.08,10.17,0.85
"MILFORD POLICE DEPARTMENT, Connecticut",947515,947515,92.79,3.6,0,3.6,0
"NORWALK POLICE DEPARTMENT, Connecticut",955990,955990,73.18,12.85,1.12,11.17,1.68
"STAMFORD POLICE DEPARTMENT, Connecticut",973000,973000,81.92,9.96,0.37,7.75,0
"WATERBURY POLICE DEPARTMENT, Connecticut",980000,980000,78.62,7.97,0.36,12.68,0.36
"WILMINGTON POLICE DEPARTMENT, Delaware",1077580,1077580,65.03,24.51,0,9.15,1.31
"METROPOLITAN POLICE DEPARTMENT, DC, District of Columbia",1150000,1150000,35.72,52.83,3.34,8.03,0.08
"BOCA RATON POLICE DEPARTMENT, Florida",1207300,1207300,79.14,8.02,2.14,10.7,0
"BOYNTON BEACH POLICE DEPARTMENT, Florida",1207875,1207875,69.85,10.29,0,19.12,0.74
"BRADENTON POLICE DEPARTMENT, Florida",1207950,1207950,78.07,7.02,0,13.16,1.75
"CAPE CORAL POLICE DEPARTMENT, Florida",1210275,1210275,91.36,1.82,0.45,6.36,0
"CLEARWATER POLICE DEPARTMENT, Florida",1212875,1212875,82.05,8.97,0.85,7.69,0.43
"CORAL GABLES POLICE DEPARTMENT, Florida",1214250,1214250,33.53,5.88,1.18,59.41,0
"CORAL SPRINGS POLICE DEPARTMENT, Florida",1214400,1214400,76,10.5,0,13,0.5
"DAYTONA BEACH POLICE DEPARTMENT, Florida",1216525,1216525,72.48,18.81,0.92,7.8,0
"DELRAY BEACH POLICE DEPARTMENT, Florida",1217100,1217100,71.79,10.26,0.64,13.46,3.85
"FORT LAUDERDALE POLICE DEPARTMENT, Florida",1224000,1224000,66.54,15.35,0.39,17.32,0.39
"FORT MYERS POLICE DEPARTMENT, Florida",1224125,1224125,69.44,11.67,0.56,17.78,0.56
"FORT PIERCE POLICE DEPARTMENT, Florida",1224300,1224300,58.33,23.15,1.85,16.67,0
"GAINESVILLE POLICE DEPARTMENT, Florida",1225175,1225175,76.55,15.86,0.34,5.86,1.38
"HOLLYWOOD POLICE DEPARTMENT, Florida",1232000,1232000,55.99,11.97,1.94,30.1,0
"HOMESTEAD POLICE DEPARTMENT, Florida",1232275,1232275,37.17,16.81,1.77,44.25,0
"KISSIMMEE POLICE DEPARTMENT, Florida",1236950,1236950,63.36,7.63,0,29.01,0
"LAKELAND POLICE DEPARTMENT, Florida",1238250,1238250,74.58,11.86,0.42,11.02,2.12
"LARGO POLICE DEPARTMENT, Florida",1239425,1239425,88.73,3.52,1.41,6.34,0
"LAUDERHILL POLICE DEPARTMENT, Florida",1239550,1239550,56.99,25.81,2.15,15.05,0
"MARGATE POLICE DEPARTMENT, Florida",1243125,1243125,75.7,8.41,0,14.95,0.93
"MELBOURNE POLICE DEPARTMENT, Florida",1243975,1243975,76.33,3.55,1.18,4.73,14.2
"MIAMI BEACH POLICE DEPARTMENT, Florida",1245025,1245025,18.32,12.57,1.05,68.06,0
"MIRAMAR POLICE DEPARTMENT, Florida",1245975,1245975,42.31,21.15,3.85,32.69,0
"NORTH MIAMI POLICE DEPARTMENT, Florida",1249450,1249450,17.65,42.02,0.84,39.5,0
"NORTH MIAMI BEACH POLICE DEPARTMENT, Florida",1249475,1249475,30.1,22.33,0,45.63,1.94
"OCALA POLICE DEPARTMENT, Florida",1250750,1250750,78.67,10.67,0.67,10,0
"ORLANDO POLICE DEPARTMENT, Florida",1253000,1253000,62.99,16.55,2.42,17.77,0.27
"PALM BAY POLICE DEPARTMENT, Florida",1254000,1254000,77.85,8.05,0.67,12.08,1.34
"PALM BEACH GARDENS POLICE DEPARTMENT, Florida",1254075,1254075,70.27,11.71,1.8,15.32,0.9
"PEMBROKE PINES POLICE DEPARTMENT, Florida",1255775,1255775,63.59,7.37,2.3,26.27,0.46
"PLANTATION POLICE DEPARTMENT, Florida",1257425,1257425,78.7,4.14,3.55,13.61,0
"PORT SAINT LUCIE POLICE DEPARTMENT, Florida",1258715,1258715,78.17,8.3,1.31,11.35,0.87
"RIVIERA BEACH POLICE DEPARTMENT, Florida",1260975,1260975,37.5,60.83,0.83,0.83,0
"SAINT PETERSBURG POLICE DEPARTMENT, Florida",1263000,1263000,74.86,14.34,3.17,6.7,0.93
"SANFORD POLICE DEPARTMENT, Florida",1263650,1263650,58.2,14.75,4.1,22.95,0
"SARASOTA POLICE DEPARTMENT, Florida",1264175,1264175,79.14,9.82,1.84,9.2,0
"SUNRISE POLICE DEPARTMENT, Florida",1269700,1269700,64.61,11.24,1.69,22.47,0
"TALLAHASSEE POLICE DEPARTMENT, Florida",1270600,1270600,77.09,16.44,1.08,4.58,0.81
"TAMPA POLICE DEPARTMENT, Florida",1271000,1271000,69.47,13.26,1.58,15.26,0.42
"WEST PALM BEACH POLICE DEPARTMENT, Florida",1276600,1276600,67.39,15.22,0.72,15.58,1.09
"ALBANY POLICE DEPARTMENT, Georgia",1301052,1301052,28.21,66.67,1.28,2.56,1.28
"ATLANTA POLICE DEPARTMENT, Georgia",1304000,1304000,35.81,58.76,0.79,4.48,0.16
"COLUMBUS POLICE DEPARTMENT, Georgia",1319000,1319000,71.01,25.06,0.49,2.21,1.23
"EAST POINT POLICE DEPARTMENT, Georgia",1325720,1325720,30.84,65.42,0,1.87,1.87
"MARIETTA POLICE DEPARTMENT, Georgia",1349756,1349756,82.86,10,0,7.14,0
"ROSWELL POLICE DEPARTMENT, Georgia",1367284,1367284,87.07,8.16,0.68,4.08,0
"VALDOSTA POLICE DEPARTMENT, Georgia",1378800,1378800,75,20,2.14,2.86,0
"WARNER ROBINS POLICE DEPARTMENT, Georgia",1380508,1380508,89.62,5.66,1.89,2.83,0
"BOISE POLICE DEPARTMENT, Idaho",1608830,1608830,90.82,2.38,0.34,2.38,4.08
"ARLINGTON HEIGHTS POLICE DEPARTMENT, Illinois",1702154,1702154,92.66,0,0.92,5.5,0.92
"AURORA POLICE DEPARTMENT, Illinois",1703012,1703012,77.51,6.57,0.35,15.57,0
"BLOOMINGTON POLICE DEPARTMENT, Illinois",1706613,1706613,95.2,1.6,0,3.2,0
"CHICAGO POLICE DEPARTMENT, Illinois",1714000,1714000,51.68,22.32,3.06,22.62,0.33
"CICERO POLICE DEPARTMENT, Illinois",1714351,1714351,50.63,6.33,0.63,42.41,0
"DECATUR POLICE DEPARTMENT, Illinois",1718823,1718823,93.67,3.16,0,1.27,1.9
"ELGIN POLICE DEPARTMENT, Illinois",1723074,1723074,78.57,7.14,1.65,12.09,0.55
"EVANSTON POLICE DEPARTMENT, Illinois",1724582,1724582,63.03,24.85,3.03,7.88,1.21
"JOLIET POLICE DEPARTMENT, Illinois",1738570,1738570,84.15,7.55,0,7.55,0.75
"NAPERVILLE POLICE DEPARTMENT, Illinois",1751622,1751622,94.05,2.38,1.79,1.79,0
"OAK LAWN POLICE DEPARTMENT, Illinois",1754820,1754820,93.58,1.83,0,4.59,0
"OAK PARK POLICE DEPARTMENT, Illinois",1754885,1754885,68.18,19.09,1.82,10,0.91
"PALATINE POLICE DEPARTMENT, Illinois",1757225,1757225,87.62,1.9,0,9.52,0.95
"PEORIA POLICE DEPARTMENT, Illinois",1759000,1759000,80.91,13.64,2.27,2.73,0.45
"ROCKFORD POLICE DEPARTMENT, Illinois",1765000,1765000,80.42,10.84,0,6.64,2.1
"SCHAUMBURG POLICE DEPARTMENT, Illinois",1768003,1768003,91.82,1.82,2.73,3.64,0
"SKOKIE POLICE DEPARTMENT, Illinois",1770122,1770122,72.48,2.75,3.67,19.27,1.83
"SPRINGFIELD POLICE DEPARTMENT, Illinois",1772000,1772000,90.2,6.12,0.82,2.86,0
"WAUKEGAN POLICE DEPARTMENT, Illinois",1779293,1779293,70.95,6.76,2.7,17.57,2.03
"ANDERSON POLICE DEPARTMENT, Indiana",1801468,1801468,86.54,8.65,0,0.96,3.85
"ELKHART POLICE DEPARTMENT, Indiana",1820728,1820728,94.21,4.13,0,1.65,0
"EVANSVILLE POLICE DEPARTMENT, Indiana",1822000,1822000,94.33,4.96,0.35,0,0.35
"GARY POLICE DEPARTMENT, Indiana",1827000,1827000,31.38,60.64,0,7.98,0
"HAMMOND POLICE DEPARTMENT, Indiana",1831000,1831000,80.77,4.81,0.48,12.98,0.96
"KOKOMO POLICE DEPARTMENT, Indiana",1840392,1840392,91.58,3.16,2.11,1.05,2.11
"LAFAYETTE POLICE DEPARTMENT, Indiana",1840788,1840788,94.37,1.41,1.41,1.41,1.41
"MISHAWAKA POLICE DEPARTMENT, Indiana",1849932,1849932,99.03,0,0.97,0,0
"MUNCIE POLICE DEPARTMENT, Indiana",1851876,1851876,96.26,3.74,0,0,0
"SOUTH BEND POLICE DEPARTMENT, Indiana",1871000,1871000,86.07,8.2,0,4.1,1.64
"TERRE HAUTE POLICE DEPARTMENT, Indiana",1875428,1875428,96.92,3.08,0,0,0
"CEDAR RAPIDS POLICE DEPARTMENT, Iowa",1912000,1912000,96.1,1.95,0.98,0.98,0
"COUNCIL BLUFFS POLICE DEPARTMENT, Iowa",1916860,1916860,98.23,0,0,1.77,0
"DAVENPORT POLICE DEPARTMENT, Iowa",1919000,1919000,93.04,3.16,0,3.8,0
"DES MOINES POLICE DEPARTMENT, Iowa",1921000,1921000,89.66,3.45,3.45,3.16,0.29
"SIOUX CITY POLICE DEPARTMENT, Iowa",1973335,1973335,94.4,2.4,0.8,2.4,0
"WATERLOO POLICE DEPARTMENT, Iowa",1982425,1982425,95.87,1.65,0,0.83,1.65
"KANSAS CITY POLICE DEPARTMENT, Kansas",2036000,2036000,72.75,12.87,0.9,13.17,0.3
"LAWRENCE POLICE DEPARTMENT, Kansas",2038900,2038900,88.81,5.59,0,2.8,2.8
"OLATHE POLICE DEPARTMENT, Kansas",2052575,2052575,92.61,3.98,0.57,2.84,0
"OVERLAND PARK POLICE DEPARTMENT, Kansas",2053775,2053775,89.07,5.26,2.02,3.24,0.4
"TOPEKA POLICE DEPARTMENT, Kansas",2071000,2071000,86.1,2.71,1.36,8.47,1.36
"WICHITA POLICE DEPARTMENT, Kansas",2079000,2079000,83.48,6.19,3.1,6.93,0.29
"COVINGTON POLICE DEPARTMENT, Kentucky",2117848,2117848,96,4,0,0,0
"LEXINGTON DIVISION OF POLICE, Kentucky",2146027,2146027,87.41,9.75,0,2.3,0.53
"OWENSBORO POLICE DEPARTMENT, Kentucky",2158620,2158620,93.62,5.32,0,1.06,0
"BATON ROUGE CITY POLICE, Louisiana",2205000,2205000,66.1,32.06,0.92,0.92,0
"BOSSIER CITY POLICE DEPARTMENT, Louisiana",2208920,2208920,80.75,14.29,0,3.11,1.86
"LAFAYETTE POLICE DEPARTMENT, Louisiana",2240735,2240735,78.95,18.42,0.38,1.88,0.38
"SHREVEPORT POLICE DEPARTMENT, Louisiana",2270000,2270000,59.9,36.32,1.55,1.55,0.69
"ANNAPOLIS POLICE, Maryland",2401600,2401600,65.79,24.56,3.51,5.26,0.88
"BALTIMORE CITY POLICE, Maryland",2404000,2404000,49.45,40.02,1.7,8.64,0.2
"FREDERICK CITY POLICE, Maryland",2430325,2430325,86.86,8.03,1.46,2.92,0.73
"HAGERSTOWN POLICE, Maryland",2436075,2436075,95.33,3.74,0.93,0,0
"BARNSTABLE POLICE DEPARTMENT, Massachusetts",2503690,2503690,92.31,3.42,0,2.56,1.71
"BOSTON POLICE DEPARTMENT, Massachusetts",2507000,2507000,66.57,22.39,2.19,8.85,0
"BROCKTON POLICE DEPARTMENT, Massachusetts",2509000,2509000,71.2,20.65,0.54,7.61,0
"CHICOPEE POLICE DEPARTMENT, Massachusetts",2513660,2513660,82.14,2.86,0,2.86,12.14
"FALL RIVER POLICE DEPARTMENT, Massachusetts",2523000,2523000,96.44,1.78,0.89,0,0.89
"HOLYOKE POLICE DEPARTMENT, Massachusetts",2530840,2530840,91.67,0.83,0,7.5,0
"LOWELL POLICE DEPARTMENT, Massachusetts",2537000,2537000,79.2,2.4,5.2,13.2,0
"LYNN POLICE DEPARTMENT, Massachusetts",2537490,2537490,83.98,4.42,2.21,8.84,0.55
"MALDEN POLICE DEPARTMENT, Massachusetts",2537875,2537875,,,,,
"NEW BEDFORD POLICE DEPARTMENT, Massachusetts",2545000,2545000,75.69,13.73,0,10.2,0.39
"NEWTON POLICE DEPARTMENT, Massachusetts",2545560,2545560,95.86,1.38,2.07,0.69,0
"QUINCY POLICE DEPARTMENT, Massachusetts",2555745,2555745,95.73,0.47,3.32,0.47,0
"SOMERVILLE POLICE DEPARTMENT, Massachusetts",2562535,2562535,79.84,6.98,2.33,9.3,1.55
"SPRINGFIELD POLICE DEPARTMENT, Massachusetts",2567000,2567000,,,,,
"TAUNTON POLICE DEPARTMENT, Massachusetts",2569170,2569170,98.17,1.83,0,0,0
"WALTHAM POLICE DEPARTMENT, Massachusetts",2572600,2572600,95.1,2.1,0,2.8,0
"ANN ARBOR POLICE DEPARTMENT, Michigan",2603000,2603000,85.43,9.27,0.66,1.99,2.65
"DEARBORN POLICE DEPARTMENT, Michigan",2621000,2621000,73.53,5.46,0,1.68,19.33
"DETROIT POLICE DEPARTMENT, Michigan",2622000,2622000,34.49,60.44,0.8,4.13,0.13
"FARMINGTON HILLS POLICE DEPARTMENT, Michigan",2627440,2627440,90.29,4.85,0,4.85,0
"FLINT POLICE DEPARTMENT, Michigan",2629000,2629000,0,0,0,0,100
"GRAND RAPIDS POLICE DEPARTMENT, Michigan",2634000,2634000,87.59,4.14,2.41,4.14,1.72
"LANSING POLICE DEPARTMENT, Michigan",2646000,2646000,80.87,9.84,3.28,5.46,0.55
"LIVONIA POLICE DEPARTMENT, Michigan",2649000,2649000,97.76,0,0.75,1.49,0
"STERLING HEIGHTS POLICE DEPARTMENT, Michigan",2676460,2676460,96.58,2.05,1.37,0,0
"TROY POLICE DEPARTMENT, Michigan",2680700,2680700,98.02,0,0.99,0.99,0
"WARREN POLICE DEPARTMENT, Michigan",2684000,2684000,98.48,0.51,0.51,0.51,0
"BROOKLYN PARK POLICE DEPARTMENT, Minnesota",2707966,2707966,89.9,4.04,3.03,2.02,1.01
"DULUTH POLICE DEPARTMENT, Minnesota",2717000,2717000,88.82,1.32,2.63,1.97,5.26
"MINNEAPOLIS POLICE DEPARTMENT, Minnesota",2743000,2743000,76.93,8.56,5.47,4.4,4.64
"ROCHESTER POLICE DEPARTMENT, Minnesota",2754880,2754880,93.28,2.24,1.49,2.24,0.75
"SAINT PAUL POLICE DEPARTMENT, Minnesota",2758000,2758000,74.23,5.07,9.48,4.41,6.81
"GULFPORT POLICE DEPARTMENT, Mississippi",2829700,2829700,89.66,10.34,0,0,0
"COLUMBIA POLICE DEPARTMENT, Missouri",2915670,2915670,89.35,4.14,0.59,2.96,2.96
"INDEPENDENCE POLICE DEPARTMENT, Missouri",2935000,2935000,,,,,
"KANSAS CITY POLICE DEPARTMENT, Missouri",2938000,2938000,76.63,11.69,0.75,4.79,6.14
"LEES SUMMIT POLICE DEPARTMENT, Missouri",2941348,2941348,94.96,3.6,0,0.72,0.72
"CITY OF O'FALLON MO POLICE DEPARTMENT, Missouri",2954074,2954074,98.63,1.37,0,0,0
"SAINT CHARLES POLICE DEPARTMENT, Missouri",2964082,2964082,94.5,4.59,0,0.92,0
"SAINT JOSEPH POLICE DEPARTMENT, Missouri",2964550,2964550,95.2,4,0,0.8,0
"ST. LOUIS METROPOLITAN POLICE DEPT, Missouri",2965000,2965000,,,,,
"SPRINGFIELD POLICE DEPARTMENT, Missouri",2970000,2970000,93.94,1.21,1.21,3.03,0.61
"BILLINGS POLICE DEPARTMENT, Montana",3006550,3006550,94.59,1.35,0.68,2.03,1.35
"LINCOLN POLICE DEPARTMENT, Nebraska",3128000,3128000,93.77,1.87,1.25,2.49,0.62
"OMAHA POLICE DEPARTMENT, Nebraska",3137000,3137000,79.36,8.49,1.77,9.67,0.71
"HENDERSON POLICE DEPARTMENT, Nevada",3231900,3231900,81.79,3.18,3.76,10.4,0.87
"LAS VEGAS METRO POLICE DEPARTMENT, Nevada",3240000,3240000,68.76,9.8,4.58,13.02,3.84
"NORTH LAS VEGAS POLICE DEPARTMENT, Nevada",3251800,3251800,69.82,13.68,4.56,11.93,0
"RENO POLICE DEPARTMENT, Nevada",3260600,3260600,84.18,1.35,2.69,9.09,2.69
"MANCHESTER POLICE DEPARTMENT, New Hampshire",3345140,3345140,95.63,1.75,0,1.75,0.87
"NASHUA POLICE DEPARTMENT, New Hampshire",3350260,3350260,95.38,1.16,0.58,2.89,0
"BAYONNE POLICE, New Jersey",3403580,3403580,86.19,1.66,0,12.15,0
"CAMDEN COUNTY POLICE DEPARTMENT, New Jersey",3410000,3410000,53.57,18.13,0.82,27.2,0.27
"CLIFTON POLICE, New Jersey",3413690,3413690,74.07,4.44,2.96,18.52,0
"EAST ORANGE POLICE, New Jersey",3419390,3419390,5.31,84.06,0,9.66,0.97
"ELIZABETH POLICE, New Jersey",3421000,3421000,59.21,9.54,1.32,29.61,0.33
"HOBOKEN POLICE, New Jersey",3432250,3432250,67.16,3.73,0,29.1,0
"LINDEN POLICE, New Jersey",3440350,3440350,80.17,4.96,0,14.88,0
"NEWARK POLICE, New Jersey",3451000,3451000,23.87,34.35,0.21,41.57,0
"NEW BRUNSWICK CITY POLICE, New Jersey",3451210,3451210,64.58,13.19,2.78,18.06,1.39
"TRENTON POLICE, New Jersey",3474000,3474000,54.72,16.14,0,29.13,0
"UNION CITY POLICE, New Jersey",3474630,3474630,19.25,1.86,0,78.88,0
